Area Type,Area Name,Period,Standard Occupational Code,Occupational Title,Total Job Openings,Median Hourly Wage,Median Annual Wage,Entry Level Education,Work Experience,Job Training
County,Monterey County,2014-2024,132011,Accountants and Auditors,410,38.18,79422.00,Bachelor's degree,None,None
Metropolitan Area,San Rafael MD,2014-2024,131111,Management Analysts,690,51.84,107830.00,Bachelor's degree,<5 years,None
Metropolitan Area,Chico MSA,2014-2024,291141,Registered Nurses,940,35.75,74372.00,Bachelor's degree,None,None
Metropolitan Area,Fresno MSA,2014-2024,291141,Registered Nurses,2570,42.90,89235.00,Bachelor's degree,None,None
County,Marin County,2014-2024,151132,"Software Developers, Applications",330,54.29,112903.00,Bachelor's degree,None,None
County,Shasta County,2014-2024,132011,Accountants and Auditors,140,27.80,57829.00,Bachelor's degree,None,None
County,Sonoma County,2014-2024,291141,Registered Nurses,1890,47.43,98649.00,Bachelor's degree,None,None
County,Kern County,2014-2024,291141,Registered Nurses,1960,40.89,85065.00,Bachelor's degree,None,None
County,Butte County,2014-2024,311014,Nursing Assistants,430,13.19,27421.00,Postsecondary non-degree award,None,None
County,Butte County,2014-2024,252011,"Preschool Teachers, Except Special Education",180,10.58,22014.00,Associate's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,412031,Retail Salespersons,19870,11.15,23199.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",19000,9.55,19875.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,412011,Cashiers,18560,9.90,20581.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,353031,Waiters and Waitresses,18490,10.54,21935.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",11910,11.24,23359.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,111021,General and Operations Managers,11550,56.51,117542.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,399021,Personal Care Aides,9880,10.83,22516.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,434051,Customer Service Representatives,9520,18.39,38253.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,439061,"Office Clerks, General",9440,16.11,33494.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,435081,Stock Clerks and Order Fillers,9150,11.75,24438.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,291141,Registered Nurses,8130,43.20,89843.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",8070,11.13,23148.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,132011,Accountants and Auditors,7540,33.98,70673.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,352014,"Cooks, Restaurant",6960,11.84,24637.00,No formal educational credential,<5 years,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,472061,Construction Laborers,6030,16.13,33551.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,373011,Landscaping and Groundskeeping Workers,5880,11.66,24239.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,431011,First-Line Supervisors of Office and Administrative Support Workers,5610,28.68,59651.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,414012,"Sales Representatives, Wholesale and Manufacturing, Except Technical and Scientific Products",5300,26.25,54597.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,352021,Food Preparation Workers,5220,10.21,21231.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,359011,Dining Room and Cafeteria Attendants and Bartender Helpers,4840,9.66,20079.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,499071,"Maintenance and Repair Workers, General",4740,18.80,39099.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,353022,"Counter Attendants, Cafeteria, Food Concession, and Coffee Shop",4730,10.52,21894.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,472031,Carpenters,4650,23.85,49620.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,393091,Amusement and Recreation Attendants,4630,9.60,19956.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,131111,Management Analysts,4510,44.69,92951.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,259041,Teacher Assistants,4490,,34767.00,"Some college, no degree",None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,434171,Receptionists and Information Clerks,4490,14.38,29912.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,359021,Dishwashers,4460,9.89,20578.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,512092,Team Assemblers,4240,12.60,26192.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,436014,"Secretaries and Administrative Assistants, Except Legal, Medical, and Executive",4190,18.81,39112.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,4150,15.15,31510.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,359031,"Hosts and Hostesses, Restaurant, Lounge, and Coffee Shop",4110,9.66,20079.00,No formal educational credential,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,372012,Maids and Housekeeping Cleaners,4070,10.98,22842.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,131161,Market Research Analysts and Marketing Specialists,3820,32.49,67582.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,411011,First-Line Supervisors of Retail Sales Workers,3800,18.66,38807.00,High school diploma or equivalent,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,151132,"Software Developers, Applications",3720,51.52,107151.00,Bachelor's degree,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,252021,"Elementary School Teachers, Except Special Education",3530,,80743.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,292061,Licensed Practical and Licensed Vocational Nurses,3430,24.14,50228.00,Postsecondary non-degree award,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,311014,Nursing Assistants,3280,13.64,28379.00,Postsecondary non-degree award,None,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,472111,Electricians,3270,25.45,52934.00,High school diploma or equivalent,None,Apprenticeship
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,339032,Security Guards,3260,11.34,23587.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,472141,"Painters, Construction and Maintenance",3230,18.92,39334.00,No formal educational credential,None,Moderate-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,113031,Financial Managers,3200,62.68,130364.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,537061,Cleaners of Vehicles and Equipment,3170,10.94,22758.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,537064,"Packers and Packagers, Hand",3030,10.57,21994.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,399011,Childcare Workers,3000,12.71,26421.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,353011,Bartenders,2980,11.49,23903.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,112022,Sales Managers,2900,56.09,116672.00,Bachelor's degree,<5 years,None
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,352011,"Cooks, Fast Food",2840,9.70,20170.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Anaheim-Santa Ana-Irvine MD,2014-2024,412021,Counter and Rental Clerks,2840,13.81,28729.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,452092,"Farmworkers and Laborers, Crop, Nursery, and Greenhouse",19790,9.49,19749.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,412011,Cashiers,4500,9.60,19975.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,353021,"Combined Food Preparation and Serving Workers, Including Fast Food",4470,9.62,19997.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,537062,"Laborers and Freight, Stock, and Material Movers, Hand",3760,11.99,24938.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,119013,"Farmers, Ranchers, and Other Agricultural Managers",2990,43.80,91109.00,High school diploma or equivalent,≥5 years,None
Metropolitan Area,Bakersfield MSA,2014-2024,333012,Correctional Officers and Jailers,2850,37.92,78877.00,High school diploma or equivalent,None,Moderate-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,399021,Personal Care Aides,2730,9.70,20170.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,412031,Retail Salespersons,2670,11.15,23189.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,353031,Waiters and Waitresses,2400,11.09,23087.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,291141,Registered Nurses,1960,40.89,85065.00,Bachelor's degree,None,None
Metropolitan Area,Bakersfield MSA,2014-2024,533032,Heavy and Tractor-Trailer Truck Drivers,1820,19.26,40067.00,Postsecondary non-degree award,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,439061,"Office Clerks, General",1750,14.81,30793.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,253098,Substitute Teachers,1640,17.60,36613.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Bakersfield MSA,2014-2024,111021,General and Operations Managers,1620,46.17,96052.00,Bachelor's degree,≥5 years,None
Metropolitan Area,Bakersfield MSA,2014-2024,252021,"Elementary School Teachers, Except Special Education",1510,,64420.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Bakersfield MSA,2014-2024,435081,Stock Clerks and Order Fillers,1400,11.31,23527.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,259041,Teacher Assistants,1350,,24764.00,"Some college, no degree",None,None
Metropolitan Area,Bakersfield MSA,2014-2024,472061,Construction Laborers,1270,16.75,34832.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,372011,"Janitors and Cleaners, Except Maids and Housekeeping Cleaners",1260,12.57,26166.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,399011,Childcare Workers,1240,10.87,22608.00,High school diploma or equivalent,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,452091,Agricultural Equipment Operators,1220,14.21,29547.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,499071,"Maintenance and Repair Workers, General",1170,20.23,42082.00,High school diploma or equivalent,None,Long-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,352021,Food Preparation Workers,990,9.72,20201.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,252031,"Secondary School Teachers, Except Special and Career/Technical Education",980,,69614.00,Bachelor's degree,None,Internship/Residency
Metropolitan Area,Bakersfield MSA,2014-2024,537064,"Packers and Packagers, Hand",950,9.84,20466.00,No formal educational credential,None,Short-term on-the-job training
Metropolitan Area,Bakersfield MSA,2014-2024,351012,First-Line Supervisors of Food Preparation and Serving Workers,940,16.92,35191.00,High school diploma or equivalent,<5 years,None
